Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,WALKIET,462.662500,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
2,PALO,145.230000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
3,WEATHER,162.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
4,ISS-145,145.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
5,ISS-437,437.800000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
6,MILPITA,147.945000,-,0.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
7,SAN JOS,146.640000,-,0.600000,Tone,162.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
8,SARATOG,146.655000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
9,LOS ALT,146.745000,-,0.600000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
10,SAN JOS,146.760000,-,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
11,SAN JOS,146.820000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
12,SAN JOS,146.895000,-,0.600000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
13,LOS ALT,146.940000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
14,SAN JOS,146.970000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
15,SAN JOS,146.985000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
16,SAN JOS,147.030000,+,0.600000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
17,SUNNYVA,147.105000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
18,SAN JOS,147.150000,+,0.600000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
19,SAN JOS,147.165000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
20,SAN JOS,147.285000,+,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
21,MORGAN,147.300000,+,0.600000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
22,MORGAN,147.330000,+,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
23,PALO AL,147.360000,+,0.600000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
24,SAN JOS,147.390000,+,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
25,SARATOG,147.675000,+,0.600000,Tone,162.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
26,MORGAN,147.825000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
27,SAN JOS,147.855000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
28,MILPITA,147.945000,-,0.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
29,SAN JOS,430.300000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
30,LOS GAT,441.625000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
31,LOS GAT,441.700000,+,5.000000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
32,SAN JOS,441.725000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
33,PALO AL,442.125000,+,5.000000,Tone,162.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
34,CAMPBEL,442.175000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
35,SAN JOS,442.175000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
36,SAN JOS,442.225000,+,5.000000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
37,SAN JOS,442.300000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
38,CUPERTI,442.350000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
39,MILPITA,442.350000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
40,SAN JOS,442.425000,+,5.000000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
41,SAN JOS,442.500000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
42,FREMONT,442.550000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
43,PALO AL,442.575000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
44,SAN JOS,442.700000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
45,SAN JOS,442.775000,+,5.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
46,PALO AL,442.800000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
47,SAN JOS,442.825000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
48,SAN JOS,442.850000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
49,SAN JOS,442.875000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
50,SAN JOS,442.900000,+,5.000000,Tone,162.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
51,SAN JOS,442.950000,+,5.000000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
52,MORGAN,442.975000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
53,PALO AL,443.000000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
54,LOS GAT,443.025000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
55,MILPITA,443.025000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
56,SAN JOS,443.075000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
57,SARATOG,443.125000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
58,CUPERTI,443.150000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
59,PALO AL,443.225000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
60,PALO AL,443.225000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
61,SAN JOS,443.275000,+,5.000000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
62,SAN JOS,443.300000,+,5.000000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
63,SAN JOS,443.475000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
64,MORGAN,443.500000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
65,SAN JOS,443.550000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
66,MOUNTAI,443.600000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
67,SAN JOS,443.625000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
68,LOS ALT,443.675000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
69,SAN JOS,443.700000,+,5.000000,Tone,186.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
70,LOS GAT,443.750000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
71,SILICON,443.750000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
72,SAN JOS,443.775000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
73,LOS ALT,443.850000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
74,SAN JOS,443.900000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
75,SUNNYVA,443.900000,+,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
76,LOS GAT,444.125000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
77,LOS ALT,444.225000,+,5.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
78,SAN JOS,444.300000,+,5.000000,Tone,173.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
79,SAN JOS,444.300000,+,5.000000,Tone,162.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
80,SAN JOS,444.400000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
81,SAN JOS,444.450000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
82,SUNNYVA,444.550000,-,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
83,SAN JOS,444.600000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
84,SAN JOS,444.625000,+,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
85,SAN JOS,444.700000,+,5.000000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
86,MILPITA,444.725000,+,5.000000,Tone,162.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
87,SAN JOS,444.750000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
88,SAN JOS,444.775000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
89,SAN JOS,444.800000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
90,SAN JOS,444.900000,+,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
91,LOS GAT,444.925000,+,5.000000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
92,PALO AL,444.950000,+,5.000000,Tone,162.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
93,LOS GAT,444.975000,+,5.000000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
94,PORTOLA,146.085000,+,0.600000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
95,PESCADE,146.625000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
96,LA HOND,146.730000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
97,BURLING,146.805000,-,0.600000,Tone,192.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
98,LA HOND,146.805000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
99,DALY CI,146.835000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
100,REDWOOD,146.865000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
101,PACIFIC,146.925000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
102,MOAB,146.760000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
103,MOAB,146.900000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
104,SAN MAT,147.300000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
105,REDWOOD,147.675000,+,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
106,HAYWARD,145.130000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
107,HAYWARD,145.250000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
108,BERKELE,145.290000,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
109,LIVERMO,145.350000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
110,LIVERMO,145.430000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
111,NEWARK,146.085000,+,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
112,UNION C,146.610000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
113,OAKLAND,146.670000,-,0.600000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
114,LIVERMO,146.775000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
115,OAKLAND,146.850000,-,0.600000,Tone,162.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
116,OAKLAND,146.880000,-,0.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
117,FREMONT,147.015000,+,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
118,PLEASAN,147.045000,+,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
119,LIVERMO,147.120000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
120,OAKLAND,147.210000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
121,SAN LEA,147.240000,+,0.600000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
122,HAYWARD,147.315000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
123,ALAMEDA,147.825000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
124,HAYWARD,147.975000,-,0.600000,Tone,156.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
125,NEWARK,147.975000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
126,,442.125000,,0.000000,Tone,162.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
127,SJC-Cleara,118.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,2.50,,5.0W,,,,,
128,SJC-GRD,121.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,2.50,,5.0W,,,,,
129,SJC-TOW,124.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,2.50,,5.0W,,,,,
130,SJC-TOWU,257.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,2.50,,5.0W,,,,,
131,SJC-ATIS,126.950000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,2.50,,5.0W,,,,,
200,,440.200000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,AM,25.00,,5.0W,,,,,
